"key","surface","context","en","zh","ja","notes"
"home.heroTitle","Home","title","Desktop IC copilot for VHS","VHS 桌面版 IC 副手","VHS デスクトップIC コパイロット","hero H1"
"home.heroSubReady","Home","body","Pick a flow.","選一個流程開始。","フローを選んでください。","shown when a provider is connected"
"home.heroSubEmptyPrefix","Home","body","Connect an LLM in ","在 ","LLMは","prefix; followed by 'Settings' inline link + 'to start.'"
"home.heroSubEmptySettings","Home","button","Settings","設定","設定","inline link inside the empty-state hero sub"
"home.heroSubEmptySuffix","Home","body"," to start."," 連接 LLM 即可開始。","から接続して開始します。","suffix after inline link"
"home.cardQuickMemoTitle","Home","title","Quick Memo","快速備忘錄","クイックメモ","card title"
"home.cardQuickMemoBody","Home","body","Drop a URL or company name. Out comes a 2-page memo in your firm's voice. ~5 min.","貼上網址或公司名稱,輸出一份以你們公司口吻寫成的 2 頁備忘錄。約 5 分鐘。","URLか会社名を入力すると、御社の文体で2ページのメモを出力します。約5分。","card body; use straight apostrophe"
"home.cardIcTitle","Home","title","Full IC Report","完整 IC 報告","フルICレポート","card title"
"home.cardIcBody","Home","body","Multi-step deep dive. Founder, market, traction, terms. Iterate section-by-section. ~30 min.","多步驟深入分析。創辦人、市場、成長動能、條件。逐章節反覆打磨。約 30 分鐘。","多段階の深掘り。創業者、市場、トラクション、条件。章ごとに反復。約30分。","card body"
"home.cardTemplatesTitle","Home","title","Report templates","報告範本","レポートテンプレート","card title"
"home.cardTemplatesBody","Home","body","Browse the simple and full layouts your reports are built from. Each is a stack of blocks — soon drag-and-drop editable.","瀏覽你的報告所依據的簡易與完整版面。每份都由一疊區塊組成 —— 現在可拖放編輯。","レポートの土台となるシンプル版・フル版のレイアウトを閲覧。各レイアウトはブロックの積み重ねで、ドラッグ&ドロップで編集できます。","card body; the 'soon drag-and-drop editable' bit is now built (W7) — Wei may want to revise the copy"
"settings.appearanceBody","Settings.Appearance","body","Switch between the dark Ink theme and the light Paper theme. Your choice is remembered on this Mac.","在深色 Ink 主題與淺色 Paper 主題之間切換。你的選擇會記在這台 Mac 上。","ダークの Ink テーマとライトの Paper テーマを切り替えます。選択はこのMacに記憶されます。","'Ink' and 'Paper' are theme names, wrap in <strong> in source; adapt naturally"
"settings.llmBody","Settings.LLM","body","Pick how KN33C4P talks to a model. Costs metered to your account or machine. Bring your own key, run a local model, or link your VHS account to use the bundled hosted model.","選擇 KN33C4P 與模型溝通的方式。費用計入你的帳戶或機器。可自備金鑰、執行本機模型,或連結你的 VHS 帳號使用內建的代管模型。","KN33C4Pがモデルと通信する方法を選びます。費用はアカウントまたはマシンに計上されます。自分のキーを持ち込む、ローカルモデルを実行する、またはVHSアカウントをリンクして内蔵ホスト版モデルを使用できます。","KN33C4P / VHS = brand tokens; keep in Latin"
"settings.templateEditorBody","Settings.TemplateEditor","body","Override the built-in prompt for any template / section combination. Your customisations stay on this Mac (localStorage); empty fields fall back to the default. Visual layout designer (logo / fonts / drag-drop blocks per R3) lands in wave 3.3.","覆寫任一範本 / 章節組合的內建提示詞。你的自訂內容會留在這台 Mac(localStorage);欄位留空則回退為預設。視覺化版面設計工具(標誌 / 字型 / 依 R3 拖放區塊)於 wave 3.3 推出。","任意のテンプレート/セクションの組み合わせの内蔵プロンプトを上書きします。カスタマイズはこのMac(localStorage)に保存され、空欄はデフォルトに戻ります。ビジュアルレイアウトデザイナー(ロゴ/フォント/R3準拠のドラッグ&ドロップブロック)は wave 3.3 で提供されます。","'Visual layout designer ... wave 3.3' is now shipped (W7 Studio) — may want a rewrite; keep verbatim for now"
"settings.templateEditorButton","Settings.TemplateEditor","button","Open template editor →","開啟範本編輯器 →","テンプレートエディターを開く →","arrow OK to keep"
"settings.formatLearningBody","Settings.FormatLearning","body","Drop a few of your firm's past memos or decks and KN33C4P studies each one, then rebuilds it as a template in your house format — section structure, block types, and voice — saved to your Templates list.","放入幾份你們公司過去的備忘錄或簡報,KN33C4P 會逐份研讀,再以你們的自家格式 —— 章節結構、區塊類型與口吻 —— 重建成範本,存進你的範本清單。","御社の過去のメモやデックを数点入れると、KN33C4Pが一つずつ分析し、御社独自のフォーマット —— セクション構成、ブロックタイプ、文体 —— でテンプレートとして再構築し、テンプレート一覧に保存します。","long body; may need paragraph split in JP"
"settings.aboutBody","Settings.About","body","KN33C4P · desktop IC copilot · built by vhs.capital","KN33C4P · 桌面 IC 副手 · 由 vhs.capital 打造","KN33C4P · デスクトップIC コパイロット · vhs.capital が開発","keep brand + link intact; only translate 'desktop IC copilot · built by'"
"settings.aboutRepo","Settings.About","body","Repo: github.com/duckm45t3r/kneecap (private)","儲存庫:github.com/duckm45t3r/kneecap(私有)","リポジトリ:github.com/duckm45t3r/kneecap(非公開)","keep repo path Latin; translate 'Repo' + '(private)'"
"usage.eyebrow","Usage.Gauge","badge","VHS hosted","VHS 代管","VHSホスト版","small eyebrow above the gauge"
